For this combination [['tanh', 5], ['tanh', 5], 'tanh'], R is -1.91
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['relu', 50], ['tanh', 18], 'relu'], R is -14.67
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['tanh', 5], ['tanh', 50], 'tanh'], R is -3.38
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['tanh', 5], ['tanh', 50], 'linear'], R is -4.56
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['tanh', 5], ['tanh', 50], 'relu'], R is -0.06
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['tanh', 10], ['tanh', 50], 'tanh'], R is -11.53
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['tanh', 10], ['tanh', 50], 'linear'], R is -11.71
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['tanh', 10], ['tanh', 50], 'relu'], R is -0.12
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['tanh', 18], ['tanh', 50], 'tanh'], R is -15.53
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['tanh', 18], ['tanh', 50], 'linear'], R is -30.75
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['tanh', 18], ['tanh', 50], 'relu'], R is -1.81
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['tanh', 50], ['tanh', 50], 'tanh'], R is -80.57
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['tanh', 50], ['tanh', 50], 'linear'], R is -145.93
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['tanh', 50], ['tanh', 50], 'relu'], R is -1.44
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['linear', 5], ['tanh', 50], 'tanh'], R is -45.07
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['linear', 5], ['tanh', 50], 'linear'], R is -39.87
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['linear', 5], ['tanh', 50], 'relu'], R is -6.02
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['linear', 10], ['tanh', 50], 'tanh'], R is -35.40
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['linear', 10], ['tanh', 50], 'linear'], R is -28.65
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['linear', 10], ['tanh', 50], 'relu'], R is -13.44
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['linear', 18], ['tanh', 50], 'tanh'], R is -30.51
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['linear', 18], ['tanh', 50], 'linear'], R is -40.35
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['linear', 18], ['tanh', 50], 'relu'], R is -13.25
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['linear', 50], ['tanh', 50], 'tanh'], R is -39.75
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['linear', 50], ['tanh', 50], 'linear'], R is -44.12
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['linear', 50], ['tanh', 50], 'relu'], R is -9.23
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['relu', 5], ['tanh', 50], 'tanh'], R is -16.85
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['relu', 5], ['tanh', 50], 'linear'], R is -35.67
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['relu', 5], ['tanh', 50], 'relu'], R is -34.63
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['relu', 10], ['tanh', 50], 'tanh'], R is -103.35
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['relu', 10], ['tanh', 50], 'linear'], R is -30.20
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['relu', 10], ['tanh', 50], 'relu'], R is -11.03
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['relu', 18], ['tanh', 50], 'tanh'], R is -70.12
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['relu', 18], ['tanh', 50], 'linear'], R is -109.83
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['relu', 18], ['tanh', 50], 'relu'], R is -20.67
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['relu', 50], ['tanh', 50], 'tanh'], R is -73.36
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['relu', 50], ['tanh', 50], 'linear'], R is -102.01
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['relu', 50], ['tanh', 50], 'relu'], R is -6.14
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['tanh', 5], ['linear', 5], 'tanh'], R is -0.32
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['tanh', 5], ['linear', 5], 'linear'], R is -53.83
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['tanh', 5], ['linear', 5], 'relu'], R is -0.82
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['tanh', 10], ['linear', 5], 'tanh'], R is -5.34
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['tanh', 10], ['linear', 5], 'linear'], R is -72.59
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['tanh', 10], ['linear', 5], 'relu'], R is -0.97
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['tanh', 18], ['linear', 5], 'tanh'], R is -21.97
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['tanh', 18], ['linear', 5], 'linear'], R is -53.56
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['tanh', 18], ['linear', 5], 'relu'], R is -0.78
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['tanh', 50], ['linear', 5], 'tanh'], R is -27.29
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['tanh', 50], ['linear', 5], 'linear'], R is -135.50
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['tanh', 50], ['linear', 5], 'relu'], R is -6.31
