For this combination [['tanh', 5], ['tanh', 5], 'tanh'], R is -1.91
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['linear', 5], ['relu', 50], 'linear'], R is -10.29
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['linear', 5], ['relu', 50], 'relu'], R is -2.00
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['linear', 10], ['relu', 50], 'tanh'], R is -7.40
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['linear', 10], ['relu', 50], 'linear'], R is -9.33
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['linear', 10], ['relu', 50], 'relu'], R is -5.26
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['linear', 18], ['relu', 50], 'tanh'], R is -6.04
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['linear', 18], ['relu', 50], 'linear'], R is -21.93
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['linear', 18], ['relu', 50], 'relu'], R is -0.27
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['linear', 50], ['relu', 50], 'tanh'], R is -4.21
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['linear', 50], ['relu', 50], 'linear'], R is -16.20
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['linear', 50], ['relu', 50], 'relu'], R is -0.06
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['relu', 5], ['relu', 50], 'tanh'], R is -17.26
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['relu', 5], ['relu', 50], 'linear'], R is -11.27
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['relu', 5], ['relu', 50], 'relu'], R is -0.34
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['relu', 10], ['relu', 50], 'tanh'], R is -26.88
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['relu', 10], ['relu', 50], 'linear'], R is -52.43
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['relu', 10], ['relu', 50], 'relu'], R is -1.01
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['relu', 18], ['relu', 50], 'tanh'], R is -35.41
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['relu', 18], ['relu', 50], 'linear'], R is -35.98
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['relu', 18], ['relu', 50], 'relu'], R is -0.06
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['relu', 50], ['relu', 50], 'tanh'], R is -23.47
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['relu', 50], ['relu', 50], 'linear'], R is -95.26
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['relu', 50], ['relu', 50], 'relu'], R is -0.06
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] 
