For this combination [['tanh', 5], ['tanh', 5], ['tanh', 5], 'tanh'], R is -2.77
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['tanh', 18], ['tanh', 5], ['tanh', 18], 'linear'], R is -3.30
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['tanh', 18], ['tanh', 5], ['tanh', 18], 'relu'], R is -0.11
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['tanh', 50], ['tanh', 5], ['tanh', 18], 'tanh'], R is -3.11
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['tanh', 50], ['tanh', 5], ['tanh', 18], 'linear'], R is -6.22
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['tanh', 50], ['tanh', 5], ['tanh', 18], 'relu'], R is -0.42
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['linear', 5], ['tanh', 5], ['tanh', 18], 'tanh'], R is -2.03
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['linear', 5], ['tanh', 5], ['tanh', 18], 'linear'], R is -2.55
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['linear', 5], ['tanh', 5], ['tanh', 18], 'relu'], R is -0.14
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['linear', 10], ['tanh', 5], ['tanh', 18], 'tanh'], R is -2.56
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['linear', 10], ['tanh', 5], ['tanh', 18], 'linear'], R is -1.87
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['linear', 10], ['tanh', 5], ['tanh', 18], 'relu'], R is -0.06
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['linear', 18], ['tanh', 5], ['tanh', 18], 'tanh'], R is -0.98
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['linear', 18], ['tanh', 5], ['tanh', 18], 'linear'], R is -1.74
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['linear', 18], ['tanh', 5], ['tanh', 18], 'relu'], R is -0.32
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['linear', 50], ['tanh', 5], ['tanh', 18], 'tanh'], R is -0.51
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['linear', 50], ['tanh', 5], ['tanh', 18], 'linear'], R is -2.21
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['linear', 50], ['tanh', 5], ['tanh', 18], 'relu'], R is -0.06
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['relu', 5], ['tanh', 5], ['tanh', 18], 'tanh'], R is -7.74
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['relu', 5], ['tanh', 5], ['tanh', 18], 'linear'], R is -6.26
