The best_R for now is 0.2607 and combination is [['linear', 100], ['linear', 100], ['linear', 100], 'selu'] For this combination [['tanh', 100], ['linear', 100], ['tanh', 100], 'elu'], R is -0.07
The best_R for now is 0.2607 and combination is [['linear', 100], ['linear', 100], ['linear', 100], 'selu'] For this combination [['tanh', 100], ['linear', 100], ['tanh', 100], 'softmax'], R is -45.35
The best_R for now is 0.2607 and combination is [['linear', 100], ['linear', 100], ['linear', 100], 'selu'] For this combination [['tanh', 100], ['linear', 100], ['tanh', 100], 'softplus'], R is 0.24
The best_R for now is 0.2607 and combination is [['linear', 100], ['linear', 100], ['linear', 100], 'selu'] For this combination [['tanh', 100], ['linear', 100], ['tanh', 100], 'selu'], R is -4.04
The best_R for now is 0.2607 and combination is [['linear', 100], ['linear', 100], ['linear', 100], 'selu'] For this combination [['relu', 100], ['linear', 100], ['tanh', 100], 'linear'], R is -1.41
The best_R for now is 0.2607 and combination is [['linear', 100], ['linear', 100], ['linear', 100], 'selu'] For this combination [['relu', 100], ['linear', 100], ['tanh', 100], 'tanh'], R is -1.61
The best_R for now is 0.2607 and combination is [['linear', 100], ['linear', 100], ['linear', 100], 'selu'] For this combination [['relu', 100], ['linear', 100], ['tanh', 100], 'relu'], R is -0.07
The best_R for now is 0.2607 and combination is [['linear', 100], ['linear', 100], ['linear', 100], 'selu'] For this combination [['relu', 100], ['linear', 100], ['tanh', 100], 'elu'], R is -1.05
The best_R for now is 0.2607 and combination is [['linear', 100], ['linear', 100], ['linear', 100], 'selu'] For this combination [['relu', 100], ['linear', 100], ['tanh', 100], 'softmax'], R is -45.35
The best_R for now is 0.2607 and combination is [['linear', 100], ['linear', 100], ['linear', 100], 'selu'] For this combination [['relu', 100], ['linear', 100], ['tanh', 100], 'softplus'], R is 0.22
The best_R for now is 0.2607 and combination is [['linear', 100], ['linear', 100], ['linear', 100], 'selu'] For this combination [['relu', 100], ['linear', 100], ['tanh', 100], 'selu'], R is -4.72
The best_R for now is 0.2607 and combination is [['linear', 100], ['linear', 100], ['linear', 100], 'selu'] For this combination [['elu', 100], ['linear', 100], ['tanh', 100], 'linear'], R is -0.50
The best_R for now is 0.2607 and combination is [['linear', 100], ['linear', 100], ['linear', 100], 'selu'] For this combination [['elu', 100], ['linear', 100], ['tanh', 100], 'tanh'], R is -0.04
The best_R for now is 0.2607 and combination is [['linear', 100], ['linear', 100], ['linear', 100], 'selu'] For this combination [['elu', 100], ['linear', 100], ['tanh', 100], 'relu'], R is -0.10
The best_R for now is 0.2607 and combination is [['linear', 100], ['linear', 100], ['linear', 100], 'selu'] For this combination [['elu', 100], ['linear', 100], ['tanh', 100], 'elu'], R is -0.37
The best_R for now is 0.2607 and combination is [['linear', 100], ['linear', 100], ['linear', 100], 'selu'] For this combination [['elu', 100], ['linear', 100], ['tanh', 100], 'softmax'], R is -45.37
The best_R for now is 0.2607 and combination is [['linear', 100], ['linear', 100], ['linear', 100], 'selu'] For this combination [['elu', 100], ['linear', 100], ['tanh', 100], 'softplus'], R is 0.22
The best_R for now is 0.2607 and combination is [['linear', 100], ['linear', 100], ['linear', 100], 'selu'] For this combination [['elu', 100], ['linear', 100], ['tanh', 100], 'selu'], R is -0.91
