For this combination [['tanh', 5], ['tanh', 5], 'tanh'], R is 0.66
The best_R for now is 0.9621 and combination is [['tanh', 10], ['tanh', 18], 'linear'] For this combination [['linear', 10], ['linear', 10], 'tanh'], R is 0.56
The best_R for now is 0.9621 and combination is [['tanh', 10], ['tanh', 18], 'linear'] For this combination [['linear', 10], ['linear', 10], 'linear'], R is 0.27
The best_R for now is 0.9621 and combination is [['tanh', 10], ['tanh', 18], 'linear'] For this combination [['linear', 18], ['linear', 10], 'tanh'], R is 0.58
The best_R for now is 0.9621 and combination is [['tanh', 10], ['tanh', 18], 'linear'] For this combination [['linear', 18], ['linear', 10], 'linear'], R is 0.28
The best_R for now is 0.9621 and combination is [['tanh', 10], ['tanh', 18], 'linear'] For this combination [['tanh', 5], ['linear', 18], 'tanh'], R is 0.64
The best_R for now is 0.9621 and combination is [['tanh', 10], ['tanh', 18], 'linear'] For this combination [['tanh', 5], ['linear', 18], 'linear'], R is 0.93
The best_R for now is 0.9621 and combination is [['tanh', 10], ['tanh', 18], 'linear'] For this combination [['tanh', 10], ['linear', 18], 'tanh'], R is 0.68
The best_R for now is 0.9621 and combination is [['tanh', 10], ['tanh', 18], 'linear'] For this combination [['tanh', 10], ['linear', 18], 'linear'], R is 0.93
The best_R for now is 0.9621 and combination is [['tanh', 10], ['tanh', 18], 'linear'] For this combination [['tanh', 18], ['linear', 18], 'tanh'], R is 0.68
The best_R for now is 0.9621 and combination is [['tanh', 10], ['tanh', 18], 'linear'] For this combination [['tanh', 18], ['linear', 18], 'linear'], R is 0.93
The best_R for now is 0.9621 and combination is [['tanh', 10], ['tanh', 18], 'linear'] For this combination [['linear', 5], ['linear', 18], 'tanh'], R is 0.58
The best_R for now is 0.9621 and combination is [['tanh', 10], ['tanh', 18], 'linear'] For this combination [['linear', 5], ['linear', 18], 'linear'], R is 0.28
The best_R for now is 0.9621 and combination is [['tanh', 10], ['tanh', 18], 'linear'] For this combination [['linear', 10], ['linear', 18], 'tanh'], R is 0.58
The best_R for now is 0.9621 and combination is [['tanh', 10], ['tanh', 18], 'linear'] For this combination [['linear', 10], ['linear', 18], 'linear'], R is 0.27
The best_R for now is 0.9621 and combination is [['tanh', 10], ['tanh', 18], 'linear'] For this combination [['linear', 18], ['linear', 18], 'tanh'], R is 0.58
The best_R for now is 0.9621 and combination is [['tanh', 10], ['tanh', 18], 'linear'] For this combination [['linear', 18], ['linear', 18], 'linear'], R is 0.27
The best_R for now is 0.9621 and combination is [['tanh', 10], ['tanh', 18], 'linear'] 
